Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2019.5 E K100 70.3 30.8    15d  6m    79d  2m    9928.0   9585.3   2585.8  51216.9  52170.2    12.1       0.9         -7.2    -16.1     31.8     38.3     36.2
2018 E K100 70.3 30.8    14d 48m    79d  0m    9939.0   9609.4   2538.1  51159.5  52116.0    12.1       1.0         -7.4    -16.1     31.8     38.3     36.1
2017.5 M K470 70.3 30.8    11d 48m    78d 55m    8596.8   8415.4   1757.0  43905.7  44739.4    12.3       1.0         -7.9    -14.1     28.6     29.2     27.1
2016.5 E M1042 70.3 30.8    15d 20m    79d  4m   10280.5   9914.7   2718.1  53259.7  54242.8    12.0       0.9         -7.3    -16.5     32.7     41.3     39.2
2015.5 E F30000 70.3 30.8    15d  6m    79d  2m   10274.8   9919.9   2677.1  53026.0  54012.3    12.0       1.0         -7.4    -16.5     32.6     41.0     38.9
2018.7 E F30000 -70.3 -30.8     0d -55m   -60d 17m   18887.5  18885.1   -301.0 -33081.0  38093.2    -3.0       0.9        -27.8    -28.1    -16.2     69.7    -74.3
2018.7 E F30000 -70 -30    -1d 29m   -60d 11m   18795.6  18789.2   -488.2 -32799.0  37802.7    -2.9       0.9        -28.0    -28.4    -15.4     69.2    -74.0
2018.7 E F30000 43 -30   -10d 14m    58d 49m   23712.0  23335.3  -4210.2  39167.5  45785.9     9.8      -3.7         36.0     47.5     60.2    -35.6    -11.8
2018 E F30000 43 -54   -16d 54m    63d 19m   21912.2  20965.2  -6372.2  43595.5  48792.6     9.3      -5.7         43.1     58.5     44.3    -93.3    -64.0
2018 E K1.3 48.123 16.123     4d  9m    64d 27m   20980.3  20925.1   1520.8  43873.7  48632.0     7.3       0.4         10.4      7.1     45.3     35.8     36.8
2019 E K1.3 48.123 16.123     4d 17m    64d 27m   20990.8  20932.3   1566.1  43909.5  48668.8     7.3       0.4         10.5      7.1     45.3     35.8     36.8
2019.8849 E K1.3 48.123 16.123     4d 23m    64d 27m   21000.1  20938.6   1606.2  43941.2  48701.4     7.3       0.4         10.6      7.1     45.3     35.8     36.9
